userName,score,at,content,content_casefold,cleaned,normalized,tokens,no_stopword,stemmed,unique,clean_final,preprocessed,Unigram,Bigram,Trigram
Rioo Shinigami05,5,2025-10-29 04:50:51,kenapa ngebug woyyyy,kenapa ngebug woyyyy,kenapa ngebug woyyyy,kenapa ngebug woyyyy,"['kenapa', 'ngebug', 'woyyyy']","['ngebug', 'woyyyy']","['ngebug', 'woyyyy']","['ngebug', 'woyyyy']","['ngebug', 'woy']",ngebug woy,"[('ngebug',), ('woy',)]","[('ngebug', 'woy')]",[]
Fadli,5,2025-10-29 04:50:39,Punya ku gak bisa buat loging soalnya uji coba telah berahir,punya ku gak bisa buat loging soalnya uji coba telah berahir,punya ku gak bisa buat loging soalnya uji coba telah berahir,punya ku gak bisa buat loging soalnya uji coba telah berahir,"['punya', 'ku', 'gak', 'bisa', 'buat', 'loging', 'soalnya', 'uji', 'coba', 'telah', 'berahir']","['punya', 'loging', 'soalnya', 'uji', 'berahir']","['punya', 'loging', 'soal', 'uji', 'berahir']","['punya', 'loging', 'soal', 'uji', 'berahir']","['punya', 'loging', 'soal', 'uji', 'berahir']",punya loging soal uji berahir,"[('punya',), ('loging',), ('soal',), ('uji',), ('berahir',)]","[('punya', 'loging'), ('loging', 'soal'), ('soal', 'uji'), ('uji', 'berahir')]","[('punya', 'loging', 'soal'), ('loging', 'soal', 'uji'), ('soal', 'uji', 'berahir')]"
Dinoii Dinoii,5,2025-10-29 04:50:37,Tah lah,tah lah,tah lah,tah lah,"['tah', 'lah']",['tah'],['tah'],['tah'],['tah'],tah,"[('tah',)]",[],[]
Perdi Puji Lukito,1,2025-10-29 04:50:35,"woyyy... udah ku instal... login pun masih nggak bisa,,, kau perbaiki lahhh,, lontong emng","woyyy... udah ku instal... login pun masih nggak bisa,,, kau perbaiki lahhh,, lontong emng",woyyy udah ku instal login pun masih nggak bisa kau perbaiki lahhh lontong emng,woyyy udah ku instal login pun masih nggak bisa kau perbaiki lahhh lontong emng,"['woyyy', 'udah', 'ku', 'instal', 'login', 'pun', 'masih', 'nggak', 'bisa', 'kau', 'perbaiki', 'lahhh', 'lontong', 'emng']","['woyyy', 'instal', 'kau', 'perbaiki', 'lahhh', 'lontong', 'emng']","['woyyy', 'instal', 'kau', 'baik', 'lahhh', 'lontong', 'emng']","['woyyy', 'instal', 'kau', 'baik', 'lahhh', 'lontong', 'emng']","['woy', 'instal', 'kau', 'baik', 'lah', 'lontong', 'emng']",woy instal kau baik lah lontong emng,"[('woy',), ('instal',), ('kau',), ('baik',), ('lah',), ('lontong',), ('emng',)]","[('woy', 'instal'), ('instal', 'kau'), ('kau', 'baik'), ('baik', 'lah'), ('lah', 'lontong'), ('lontong', 'emng')]","[('woy', 'instal', 'kau'), ('instal', 'kau', 'baik'), ('kau', 'baik', 'lah'), ('baik', 'lah', 'lontong'), ('lah', 'lontong', 'emng')]"
Adzillah Mu'min,5,2025-10-29 04:50:30,"game nya sangat wow, dan grafiknya wow , rank aku juga sudah wow banget , pokoknya harus download deh karena sangat wow, kalau kalian lewat kan pasti nanti nya akan menyesal wow😘😘😘","game nya sangat wow, dan grafiknya wow , rank aku juga sudah wow banget , pokoknya harus download deh karena sangat wow, kalau kalian lewat kan pasti nanti nya akan menyesal wow😘😘😘",game nya sangat wow dan grafiknya wow rank aku juga sudah wow banget pokoknya harus download deh karena sangat wow kalau kalian lewat kan pasti nanti nya akan menyesal wow,permainan nya sangat wow dan grafiknya wow rank aku juga sudah wow banget pokoknya harus download deh karena sangat wow kalau kalian lewat kan pasti nanti nya akan menyesal wow,"['permainan', 'nya', 'sangat', 'wow', 'dan', 'grafiknya', 'wow', 'rank', 'aku', 'juga', 'sudah', 'wow', 'banget', 'pokoknya', 'harus', 'download', 'deh', 'karena', 'sangat', 'wow', 'kalau', 'kalian', 'lewat', 'kan', 'pasti', 'nanti', 'nya', 'akan', 'menyesal', 'wow']","['permainan', 'sangat', 'grafiknya', 'sangat', 'kalian', 'lewat', 'menyesal']","['main', 'sangat', 'grafik', 'sangat', 'kalian', 'lewat', 'sesal']","['main', 'sangat', 'grafik', 'kalian', 'lewat', 'sesal']","['main', 'sangat', 'grafik', 'kalian', 'lewat', 'sesal']",main sangat grafik kalian lewat sesal,"[('main',), ('sangat',), ('grafik',), ('kalian',), ('lewat',), ('sesal',)]","[('main', 'sangat'), ('sangat', 'grafik'), ('grafik', 'kalian'), ('kalian', 'lewat'), ('lewat', 'sesal')]","[('main', 'sangat', 'grafik'), ('sangat', 'grafik', 'kalian'), ('grafik', 'kalian', 'lewat'), ('kalian', 'lewat', 'sesal')]"
Iful Prtma,3,2025-10-29 04:50:21,"game ini menyenangkan, namun saya sangat sering terkena mute onmic, tolong di perbaiki, saya tidak berbicara yg kotor berlebihan hanya sedikit sedikit🤣, jdi tolong lah min, jangan mutee akun guaaa seru loh kalau kita bermain sambil onmic minn tolonggg yakk","game ini menyenangkan, namun saya sangat sering terkena mute onmic, tolong di perbaiki, saya tidak berbicara yg kotor berlebihan hanya sedikit sedikit🤣, jdi tolong lah min, jangan mutee akun guaaa seru loh kalau kita bermain sambil onmic minn tolonggg yakk",game ini menyenangkan namun saya sangat sering terkena mute onmic tolong di perbaiki saya tidak berbicara yg kotor berlebihan hanya sedikit sedikit jdi tolong lah min jangan mutee akun guaaa seru loh kalau kita bermain sambil onmic minn tolonggg yakk,permainan ini menyenangkan namun saya sangat sering terkena mute onmic tolong di perbaiki saya tidak berbicara yg kotor berlebihan hanya sedikit sedikit jdi tolong lah min jangan mutee akun guaaa seru loh kalau kita bermain sambil onmic minn tolonggg yakk,"['permainan', 'ini', 'menyenangkan', 'namun', 'saya', 'sangat', 'sering', 'terkena', 'mute', 'onmic', 'tolong', 'di', 'perbaiki', 'saya', 'tidak', 'berbicara', 'yg', 'kotor', 'berlebihan', 'hanya', 'sedikit', 'sedikit', 'jdi', 'tolong', 'lah', 'min', 'jangan', 'mutee', 'akun', 'guaaa', 'seru', 'loh', 'kalau', 'kita', 'bermain', 'sambil', 'onmic', 'minn', 'tolonggg', 'yakk']","['permainan', 'menyenangkan', 'sangat', 'sering', 'terkena', 'mute', 'onmic', 'perbaiki', 'berbicara', 'yg', 'kotor', 'berlebihan', 'sedikit', 'sedikit', 'jdi', 'jangan', 'mutee', 'guaaa', 'seru', 'bermain', 'onmic', 'minn', 'tolonggg', 'yakk']","['main', 'senang', 'sangat', 'sering', 'kena', 'mute', 'onmic', 'baik', 'bicara', 'yg', 'kotor', 'lebih', 'sedikit', 'sedikit', 'jdi', 'jangan', 'mutee', 'guaaa', 'seru', 'main', 'onmic', 'minn', 'tolonggg', 'yakk']","['main', 'senang', 'sangat', 'sering', 'kena', 'mute', 'onmic', 'baik', 'bicara', 'yg', 'kotor', 'lebih', 'sedikit', 'jdi', 'jangan', 'mutee', 'guaaa', 'seru', 'minn', 'tolonggg', 'yakk']","['main', 'senang', 'sangat', 'sering', 'kena', 'mute', 'onmic', 'baik', 'bicara', 'kotor', 'lebih', 'sedikit', 'jdi', 'jangan', 'mutee', 'gua', 'seru', 'minn', 'tolong', 'yakk']",main senang sangat sering kena mute onmic baik bicara kotor lebih sedikit jdi jangan mutee gua seru minn tolong yakk,"[('main',), ('senang',), ('sangat',), ('sering',), ('kena',), ('mute',), ('onmic',), ('baik',), ('bicara',), ('kotor',), ('lebih',), ('sedikit',), ('jdi',), ('jangan',), ('mutee',), ('gua',), ('seru',), ('minn',), ('tolong',), ('yakk',)]","[('main', 'senang'), ('senang', 'sangat'), ('sangat', 'sering'), ('sering', 'kena'), ('kena', 'mute'), ('mute', 'onmic'), ('onmic', 'baik'), ('baik', 'bicara'), ('bicara', 'kotor'), ('kotor', 'lebih'), ('lebih', 'sedikit'), ('sedikit', 'jdi'), ('jdi', 'jangan'), ('jangan', 'mutee'), ('mutee', 'gua'), ('gua', 'seru'), ('seru', 'minn'), ('minn', 'tolong'), ('tolong', 'yakk')]","[('main', 'senang', 'sangat'), ('senang', 'sangat', 'sering'), ('sangat', 'sering', 'kena'), ('sering', 'kena', 'mute'), ('kena', 'mute', 'onmic'), ('mute', 'onmic', 'baik'), ('onmic', 'baik', 'bicara'), ('baik', 'bicara', 'kotor'), ('bicara', 'kotor', 'lebih'), ('kotor', 'lebih', 'sedikit'), ('lebih', 'sedikit', 'jdi'), ('sedikit', 'jdi', 'jangan'), ('jdi', 'jangan', 'mutee'), ('jangan', 'mutee', 'gua'), ('mutee', 'gua', 'seru'), ('gua', 'seru', 'minn'), ('seru', 'minn', 'tolong'), ('minn', 'tolong', 'yakk')]"
Muhammad Muhaeming,5,2025-10-29 04:50:19,Kembalikan ku yang pertama kalo nggak aku pensi,kembalikan ku yang pertama kalo nggak aku pensi,kembalikan ku yang pertama kalo nggak aku pensi,kembalikan ku yang pertama kalo nggak aku pensiun,"['kembalikan', 'ku', 'yang', 'pertama', 'kalo', 'nggak', 'aku', 'pensiun']","['kembalikan', 'pertama', 'pensiun']","['kembali', 'pertama', 'pensiun']","['kembali', 'pertama', 'pensiun']","['kembali', 'pertama', 'pensiun']",kembali pertama pensiun,"[('kembali',), ('pertama',), ('pensiun',)]","[('kembali', 'pertama'), ('pertama', 'pensiun')]","[('kembali', 'pertama', 'pensiun')]"
akmal wzn20,2,2025-10-29 04:50:12,"bagus tapi saya login ulang cuma sampe dibagian memuat data engga bisa masuk me dalem game (ngestuck di memuat data) saya tunggu lama engga masuk masuk , sinyall juga bagus apa apa juga bagus ini kenapa ya","bagus tapi saya login ulang cuma sampe dibagian memuat data engga bisa masuk me dalem game (ngestuck di memuat data) saya tunggu lama engga masuk masuk , sinyall juga bagus apa apa juga bagus ini kenapa ya",bagus tapi saya login ulang cuma sampe dibagian memuat data engga bisa masuk me dalem game ngestuck di memuat data saya tunggu lama engga masuk masuk sinyall juga bagus apa apa juga bagus ini kenapa ya,bagus tapi saya login ulang cuma sampe dibagian memuat data engga bisa masuk me dalem permainan ngestuck di memuat data saya tunggu lama engga masuk masuk sinyall juga bagus apa apa juga bagus ini kenapa ya,"['bagus', 'tapi', 'saya', 'login', 'ulang', 'cuma', 'sampe', 'dibagian', 'memuat', 'data', 'engga', 'bisa', 'masuk', 'me', 'dalem', 'permainan', 'ngestuck', 'di', 'memuat', 'data', 'saya', 'tunggu', 'lama', 'engga', 'masuk', 'masuk', 'sinyall', 'juga', 'bagus', 'apa', 'apa', 'juga', 'bagus', 'ini', 'kenapa', 'ya']","['cuma', 'sampe', 'dibagian', 'memuat', 'engga', 'me', 'dalem', 'permainan', 'ngestuck', 'memuat', 'tunggu', 'lama', 'engga', 'sinyall']","['cuma', 'sampe', 'bagi', 'muat', 'engga', 'me', 'dalem', 'main', 'ngestuck', 'muat', 'tunggu', 'lama', 'engga', 'sinyall']","['cuma', 'sampe', 'bagi', 'muat', 'engga', 'me', 'dalem', 'main', 'ngestuck', 'tunggu', 'lama', 'sinyall']","['cuma', 'sampe', 'bagi', 'muat', 'engga', 'dalem', 'main', 'ngestuck', 'tunggu', 'lama', 'sinyall']",cuma sampe bagi muat engga dalem main ngestuck tunggu lama sinyall,"[('cuma',), ('sampe',), ('bagi',), ('muat',), ('engga',), ('dalem',), ('main',), ('ngestuck',), ('tunggu',), ('lama',), ('sinyall',)]","[('cuma', 'sampe'), ('sampe', 'bagi'), ('bagi', 'muat'), ('muat', 'engga'), ('engga', 'dalem'), ('dalem', 'main'), ('main', 'ngestuck'), ('ngestuck', 'tunggu'), ('tunggu', 'lama'), ('lama', 'sinyall')]","[('cuma', 'sampe', 'bagi'), ('sampe', 'bagi', 'muat'), ('bagi', 'muat', 'engga'), ('muat', 'engga', 'dalem'), ('engga', 'dalem', 'main'), ('dalem', 'main', 'ngestuck'), ('main', 'ngestuck', 'tunggu'), ('ngestuck', 'tunggu', 'lama'), ('tunggu', 'lama', 'sinyall')]"
Satria Mrgth,5,2025-10-29 04:50:10,mantap. bewan asil bgt gut Garena . tpi Jan ngelag lah,mantap. bewan asil bgt gut garena . tpi jan ngelag lah,mantap bewan asil bgt gut garena tpi jan ngelag lah,mantap bewan asil banget gut garena tpi jan lemot lah,"['mantap', 'bewan', 'asil', 'banget', 'gut', 'garena', 'tpi', 'jan', 'lemot', 'lah']","['bewan', 'asil', 'gut', 'garena', 'jan']","['bewan', 'asil', 'gut', 'garena', 'jan']","['bewan', 'asil', 'gut', 'garena', 'jan']","['bewan', 'asil', 'gut', 'garena', 'jan']",bewan asil gut garena jan,"[('bewan',), ('asil',), ('gut',), ('garena',), ('jan',)]","[('bewan', 'asil'), ('asil', 'gut'), ('gut', 'garena'), ('garena', 'jan')]","[('bewan', 'asil', 'gut'), ('asil', 'gut', 'garena'), ('gut', 'garena', 'jan')]"
Sahrul Nurazi,5,2025-10-29 04:50:02,ni kenapa ya semenjak updet nga bisa login,ni kenapa ya semenjak updet nga bisa login,ni kenapa ya semenjak updet nga bisa login,ni kenapa ya semenjak updet nga bisa login,"['ni', 'kenapa', 'ya', 'semenjak', 'updet', 'nga', 'bisa', 'login']","['ni', 'semenjak', 'updet', 'nga']","['ni', 'semenjak', 'updet', 'nga']","['ni', 'semenjak', 'updet', 'nga']","['semenjak', 'updet', 'nga']",semenjak updet nga,"[('semenjak',), ('updet',), ('nga',)]","[('semenjak', 'updet'), ('updet', 'nga')]","[('semenjak', 'updet', 'nga')]"
