userName,score,at,content,content_casefold,cleaned,tokens,filtered,stemmed,preprocessed
IBRAHIM ANGKAT SOURAYA 1102,5,2025-10-05 08:37:31,sangat baik,sangat baik,sangat baik,"['sangat', 'baik']","['sangat', 'baik']","['sangat', 'baik']",sangat baik
Rara Putry,5,2025-10-05 08:37:11,seru,seru,seru,['seru'],['seru'],['seru'],seru
Andhit Naufal,5,2025-10-05 08:37:02,minta diamond dong,minta diamond dong,minta diamond dong,"['minta', 'diamond', 'dong']","['minta', 'diamond', 'dong']","['minta', 'diamond', 'dong']",minta diamond dong
Risma Saputri,4,2025-10-05 08:33:00,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
Aman Aman,5,2025-10-05 08:31:18,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
Kenzy Algafahri,4,2025-10-05 08:20:45,gem cantik banget,gem cantik banget,gem cantik banget,"['gem', 'cantik', 'banget']","['gem', 'cantik', 'banget']","['gem', 'cantik', 'banget']",gem cantik banget
Elgi Fahri,5,2025-10-05 08:18:40,seru,seru,seru,['seru'],['seru'],['seru'],seru
Ahmad Saiban,5,2025-10-05 08:16:48,ok ini waktunya,ok ini waktunya,ok ini waktunya,"['ok', 'ini', 'waktunya']",['waktunya'],['waktu'],waktu
Elkis Genta amizi,1,2025-10-05 08:14:08,FF ga seru lagi karna Budi telah pensi sang panutan kami 😢,ff ga seru lagi karna budi telah pensi sang panutan kami 😢,ff ga seru lagi karna budi telah pensi sang panutan kami,"['ff', 'ga', 'seru', 'lagi', 'karna', 'budi', 'telah', 'pensi', 'sang', 'panutan', 'kami']","['ff', 'ga', 'seru', 'karna', 'budi', 'pensi', 'sang', 'panutan']","['ff', 'ga', 'seru', 'karna', 'budi', 'pensi', 'sang', 'panutan']",ff ga seru karna budi pensi sang panutan
86RL 86RL,5,2025-10-05 08:08:36,kerja bagus 😲👍👍🙈🙉🙊,kerja bagus 😲👍👍🙈🙉🙊,kerja bagus,"['kerja', 'bagus']","['kerja', 'bagus']","['kerja', 'bagus']",kerja bagus
Robby Hermanus19,4,2025-10-05 08:05:53,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
Fajri Alida,5,2025-10-05 08:05:15,seru,seru,seru,['seru'],['seru'],['seru'],seru
Dimas Dimash,5,2025-10-05 08:05:13,bagus dan unik,bagus dan unik,bagus dan unik,"['bagus', 'dan', 'unik']","['bagus', 'unik']","['bagus', 'unik']",bagus unik
Zahwa Khairani,5,2025-10-05 07:56:21,enkk,enkk,enkk,['enkk'],['enkk'],['enkk'],enkk
Firman,5,2025-10-05 07:54:45,Ff sangat bgus ini gem kesukaan saya waktu pertama kali main tu bgus banget rasa nya,ff sangat bgus ini gem kesukaan saya waktu pertama kali main tu bgus banget rasa nya,ff sangat bgus ini gem kesukaan saya waktu pertama kali main tu bgus banget rasa nya,"['ff', 'sangat', 'bgus', 'ini', 'gem', 'kesukaan', 'saya', 'waktu', 'pertama', 'kali', 'main', 'tu', 'bgus', 'banget', 'rasa', 'nya']","['ff', 'sangat', 'bgus', 'gem', 'kesukaan', 'waktu', 'pertama', 'kali', 'main', 'tu', 'bgus', 'banget', 'rasa', 'nya']","['ff', 'sangat', 'bgus', 'gem', 'suka', 'waktu', 'pertama', 'kali', 'main', 'tu', 'bgus', 'banget', 'rasa', 'nya']",ff sangat bgus gem suka waktu pertama kali main tu bgus banget rasa nya
SARLAN BUSE,2,2025-10-05 07:49:28,"jonanya udah ngga ngotak anjir lagi asik""nya war TPI jonanya blum kecil bangat TPI udah sakit mohon kerja samanya Garena jonanya di kurangin dikit sakitnya","jonanya udah ngga ngotak anjir lagi asik""nya war tpi jonanya blum kecil bangat tpi udah sakit mohon kerja samanya garena jonanya di kurangin dikit sakitnya",jonanya udah ngga ngotak anjir lagi asiknya war tpi jonanya blum kecil bangat tpi udah sakit mohon kerja samanya garena jonanya di kurangin dikit sakitnya,"['jonanya', 'udah', 'ngga', 'ngotak', 'anjir', 'lagi', 'asiknya', 'war', 'tpi', 'jonanya', 'blum', 'kecil', 'bangat', 'tpi', 'udah', 'sakit', 'mohon', 'kerja', 'samanya', 'garena', 'jonanya', 'di', 'kurangin', 'dikit', 'sakitnya']","['jonanya', 'udah', 'ngga', 'ngotak', 'anjir', 'asiknya', 'war', 'tpi', 'jonanya', 'blum', 'kecil', 'bangat', 'tpi', 'udah', 'sakit', 'mohon', 'kerja', 'samanya', 'garena', 'jonanya', 'kurangin', 'dikit', 'sakitnya']","['jonanya', 'udah', 'ngga', 'ngotak', 'anjir', 'asiknya', 'war', 'tpi', 'jonanya', 'blum', 'kecil', 'bangat', 'tpi', 'udah', 'sakit', 'mohon', 'kerja', 'sama', 'garena', 'jonanya', 'rangin', 'dikit', 'sakit']",jonanya udah ngga ngotak anjir asiknya war tpi jonanya blum kecil bangat tpi udah sakit mohon kerja sama garena jonanya rangin dikit sakit
Misbah Embuy,1,2025-10-05 07:45:33,Bagus game nya tapi jaringan suka ngeleg padahal WiFi nya gak ngeleg,bagus game nya tapi jaringan suka ngeleg padahal wifi nya gak ngeleg,bagus game nya tapi jaringan suka ngeleg padahal wifi nya gak ngeleg,"['bagus', 'game', 'nya', 'tapi', 'jaringan', 'suka', 'ngeleg', 'padahal', 'wifi', 'nya', 'gak', 'ngeleg']","['bagus', 'game', 'nya', 'jaringan', 'suka', 'ngeleg', 'padahal', 'wifi', 'nya', 'gak', 'ngeleg']","['bagus', 'game', 'nya', 'jaring', 'suka', 'ngeleg', 'padahal', 'wifi', 'nya', 'gak', 'ngeleg']",bagus game nya jaring suka ngeleg padahal wifi nya gak ngeleg
Ema Lahirna,5,2025-10-05 07:39:52,"tolong Garena,aku minta SG traubelmaker 😁","tolong garena,aku minta sg traubelmaker 😁",tolong garenaaku minta sg traubelmaker,"['tolong', 'garenaaku', 'minta', 'sg', 'traubelmaker']","['garenaaku', 'minta', 'sg', 'traubelmaker']","['garenaaku', 'minta', 'sg', 'traubelmaker']",garenaaku minta sg traubelmaker
Gacor Selalu,5,2025-10-05 07:37:16,👍,👍,,[],[],[],
M.fauzan.R,5,2025-10-05 07:37:07,keren banget,keren banget,keren banget,"['keren', 'banget']","['keren', 'banget']","['keren', 'banget']",keren banget
FF. KAsIiHツ,5,2025-10-05 07:32:30,free fire sekarang makin hd🤗,free fire sekarang makin hd🤗,free fire sekarang makin hd,"['free', 'fire', 'sekarang', 'makin', 'hd']","['free', 'fire', 'sekarang', 'makin', 'hd']","['free', 'fire', 'sekarang', 'makin', 'hd']",free fire sekarang makin hd
BOCIL PUGB,1,2025-10-05 07:31:27,udah berapa lama main game ini makin lama makin burik dan akun saya hilang tidak pakai chit tiba tiba hilang game ini terlalu busuk,udah berapa lama main game ini makin lama makin burik dan akun saya hilang tidak pakai chit tiba tiba hilang game ini terlalu busuk,udah berapa lama main game ini makin lama makin burik dan akun saya hilang tidak pakai chit tiba tiba hilang game ini terlalu busuk,"['udah', 'berapa', 'lama', 'main', 'game', 'ini', 'makin', 'lama', 'makin', 'burik', 'dan', 'akun', 'saya', 'hilang', 'tidak', 'pakai', 'chit', 'tiba', 'tiba', 'hilang', 'game', 'ini', 'terlalu', 'busuk']","['udah', 'berapa', 'lama', 'main', 'game', 'makin', 'lama', 'makin', 'burik', 'akun', 'hilang', 'pakai', 'chit', 'tiba', 'tiba', 'hilang', 'game', 'terlalu', 'busuk']","['udah', 'berapa', 'lama', 'main', 'game', 'makin', 'lama', 'makin', 'burik', 'akun', 'hilang', 'pakai', 'chit', 'tiba', 'tiba', 'hilang', 'game', 'terlalu', 'busuk']",udah berapa lama main game makin lama makin burik akun hilang pakai chit tiba tiba hilang game terlalu busuk
Lu an,5,2025-10-05 07:29:52,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']",bagus banget
Kahpi,1,2025-10-05 07:29:50,kurang terimakasih,kurang terimakasih,kurang terimakasih,"['kurang', 'terimakasih']","['kurang', 'terimakasih']","['kurang', 'terimakasih']",kurang terimakasih
Saepul Patia,5,2025-10-05 07:15:43,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
AIRLANGGA RISKI RAMADHAN,5,2025-10-05 07:07:52,anj kau Garena aku udah tembak musuh tapi darah musuh ngurang nya dikit banget anj kalo bikin Evo demeg nya jangan tinggi tholol😠😠😠,anj kau garena aku udah tembak musuh tapi darah musuh ngurang nya dikit banget anj kalo bikin evo demeg nya jangan tinggi tholol😠😠😠,anj kau garena aku udah tembak musuh tapi darah musuh ngurang nya dikit banget anj kalo bikin evo demeg nya jangan tinggi tholol,"['anj', 'kau', 'garena', 'aku', 'udah', 'tembak', 'musuh', 'tapi', 'darah', 'musuh', 'ngurang', 'nya', 'dikit', 'banget', 'anj', 'kalo', 'bikin', 'evo', 'demeg', 'nya', 'jangan', 'tinggi', 'tholol']","['anj', 'kau', 'garena', 'aku', 'udah', 'tembak', 'musuh', 'darah', 'musuh', 'ngurang', 'nya', 'dikit', 'banget', 'anj', 'kalo', 'bikin', 'evo', 'demeg', 'nya', 'jangan', 'tinggi', 'tholol']","['anj', 'kau', 'garena', 'aku', 'udah', 'tembak', 'musuh', 'darah', 'musuh', 'ngurang', 'nya', 'dikit', 'banget', 'anj', 'kalo', 'bikin', 'evo', 'deg', 'nya', 'jangan', 'tinggi', 'tholol']",anj kau garena aku udah tembak musuh darah musuh ngurang nya dikit banget anj kalo bikin evo deg nya jangan tinggi tholol
Rahmat Hidayatulloh,5,2025-10-05 07:07:14,bagus dan HD,bagus dan hd,bagus dan hd,"['bagus', 'dan', 'hd']","['bagus', 'hd']","['bagus', 'hd']",bagus hd
Robi Ansyah,5,2025-10-05 07:06:31,ᗩᛕᑌ Sᑌᛕᗩ ᗰᗩIᑎ Ǥᗩᗰᗴ IᑎI,ᗩᛕᑌ sᑌᛕᗩ ᗰᗩiᑎ ǥᗩᗰᗴ iᑎi,s i ii,"['s', 'i', 'ii']","['s', 'i', 'ii']","['s', 'i', 'ii']",s i ii
Tu perie T perie,1,2025-10-05 07:00:21,apalah bang Budi 01 gaming jadi gak main ff gara gara main blood strike Garena anj***,apalah bang budi 01 gaming jadi gak main ff gara gara main blood strike garena anj***,apalah bang budi gaming jadi gak main ff gara gara main blood strike garena anj,"['apalah', 'bang', 'budi', 'gaming', 'jadi', 'gak', 'main', 'ff', 'gara', 'gara', 'main', 'blood', 'strike', 'garena', 'anj']","['apalah', 'bang', 'budi', 'gaming', 'jadi', 'gak', 'main', 'ff', 'gara', 'gara', 'main', 'blood', 'strike', 'garena', 'anj']","['apa', 'bang', 'budi', 'gaming', 'jadi', 'gak', 'main', 'ff', 'gara', 'gara', 'main', 'blood', 'strike', 'garena', 'anj']",apa bang budi gaming jadi gak main ff gara gara main blood strike garena anj
klein Moretti,1,2025-10-05 06:58:59,sinyal selalu tidak stabil,sinyal selalu tidak stabil,sinyal selalu tidak stabil,"['sinyal', 'selalu', 'tidak', 'stabil']","['sinyal', 'selalu', 'stabil']","['sinyal', 'selalu', 'stabil']",sinyal selalu stabil
Bayugenteng 002,1,2025-10-05 06:55:50,game bak damagememek,game bak damagememek,game bak damagememek,"['game', 'bak', 'damagememek']","['game', 'bak', 'damagememek']","['game', 'bak', 'damagememek']",game bak damagememek
