userName,score,at,content,content_casefold,cleaned,tokens,filtered,stemmed,preprocessed,Normalisasi,No_Duplikat,Bersih,Bersih_Token,Unigram,Bigram,Trigram,Bigram_Filtered,Bersih_NoStop
IBRAHIM ANGKAT SOURAYA 1102,5,2025-10-05 08:37:31,sangat baik,sangat baik,sangat baik,"['sangat', 'baik']","['sangat', 'baik']","['sangat', 'baik']",sangat baik,sangat baik,sangat baik,sangat baik,"['sangat', 'baik']","[('sangat',), ('baik',)]","[('sangat', 'baik')]",[],"[('sangat', 'baik')]",sangat baik
Rara Putry,5,2025-10-05 08:37:11,seru,seru,seru,['seru'],['seru'],['seru'],seru,seru,seru,seru,['seru'],"[('seru',)]",[],[],[],seru
Andhit Naufal,5,2025-10-05 08:37:02,minta diamond dong,minta diamond dong,minta diamond dong,"['minta', 'diamond', 'dong']","['minta', 'diamond', 'dong']","['minta', 'diamond', 'dong']",minta diamond dong,minta berlian dong,minta berlian dong,minta berlian dong,"['minta', 'berlian', 'dong']","[('minta',), ('berlian',), ('dong',)]","[('minta', 'berlian'), ('berlian', 'dong')]","[('minta', 'berlian', 'dong')]","[('minta', 'berlian')]",minta berlian
Risma Saputri,4,2025-10-05 08:33:00,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus,bagus,bagus,['bagus'],"[('bagus',)]",[],[],[],bagus
Aman Aman,5,2025-10-05 08:31:18,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,mantap,mantap,mantap,['mantap'],"[('mantap',)]",[],[],[],mantap
Kenzy Algafahri,4,2025-10-05 08:20:45,gem cantik banget,gem cantik banget,gem cantik banget,"['gem', 'cantik', 'banget']","['gem', 'cantik', 'banget']","['gem', 'cantik', 'banget']",gem cantik banget,permainan cantik sangat,permainan cantik sangat,permainan cantik sangat,"['permainan', 'cantik', 'sangat']","[('permainan',), ('cantik',), ('sangat',)]","[('permainan', 'cantik'), ('cantik', 'sangat')]","[('permainan', 'cantik', 'sangat')]","[('permainan', 'cantik'), ('cantik', 'sangat')]",permainan cantik sangat
Elgi Fahri,5,2025-10-05 08:18:40,seru,seru,seru,['seru'],['seru'],['seru'],seru,seru,seru,seru,['seru'],"[('seru',)]",[],[],[],seru
Ahmad Saiban,5,2025-10-05 08:16:48,ok ini waktunya,ok ini waktunya,ok ini waktunya,"['ok', 'ini', 'waktunya']",['waktunya'],['waktu'],waktu,waktu,waktu,waktu,['waktu'],"[('waktu',)]",[],[],[],waktu
Elkis Genta amizi,1,2025-10-05 08:14:08,FF ga seru lagi karna Budi telah pensi sang panutan kami 😢,ff ga seru lagi karna budi telah pensi sang panutan kami 😢,ff ga seru lagi karna budi telah pensi sang panutan kami,"['ff', 'ga', 'seru', 'lagi', 'karna', 'budi', 'telah', 'pensi', 'sang', 'panutan', 'kami']","['ff', 'ga', 'seru', 'karna', 'budi', 'pensi', 'sang', 'panutan']","['ff', 'ga', 'seru', 'karna', 'budi', 'pensi', 'sang', 'panutan']",ff ga seru karna budi pensi sang panutan,freefire tidak seru karena budi pensiun sang panutan,freefire tidak seru karena budi pensiun sang panutan,freefire tidak seru karena budi pensiun sang panutan,"['freefire', 'tidak', 'seru', 'karena', 'budi', 'pensiun', 'sang', 'panutan']","[('freefire',), ('tidak',), ('seru',), ('karena',), ('budi',), ('pensiun',), ('sang',), ('panutan',)]","[('freefire', 'tidak'), ('tidak', 'seru'), ('seru', 'karena'), ('karena', 'budi'), ('budi', 'pensiun'), ('pensiun', 'sang'), ('sang', 'panutan')]","[('freefire', 'tidak', 'seru'), ('tidak', 'seru', 'karena'), ('seru', 'karena', 'budi'), ('karena', 'budi', 'pensiun'), ('budi', 'pensiun', 'sang'), ('pensiun', 'sang', 'panutan')]","[('freefire', 'tidak'), ('tidak', 'seru'), ('seru', 'karena'), ('karena', 'budi'), ('budi', 'pensiun'), ('pensiun', 'sang'), ('sang', 'panutan')]",freefire tidak seru karena budi pensiun sang panutan
86RL 86RL,5,2025-10-05 08:08:36,kerja bagus 😲👍👍🙈🙉🙊,kerja bagus 😲👍👍🙈🙉🙊,kerja bagus,"['kerja', 'bagus']","['kerja', 'bagus']","['kerja', 'bagus']",kerja bagus,kerja bagus,kerja bagus,kerja bagus,"['kerja', 'bagus']","[('kerja',), ('bagus',)]","[('kerja', 'bagus')]",[],"[('kerja', 'bagus')]",kerja bagus
