userName,score,at,content,content_casefold
IBRAHIM ANGKAT SOURAYA 1102,5,2025-10-05 08:37:31,sangat baik,sangat baik
Rara Putry,5,2025-10-05 08:37:11,seru,seru
Andhit Naufal,5,2025-10-05 08:37:02,minta diamond dong,minta diamond dong
Risma Saputri,4,2025-10-05 08:33:00,bagus,bagus
Aman Aman,5,2025-10-05 08:31:18,mantap,mantap
Kenzy Algafahri,4,2025-10-05 08:20:45,gem cantik banget,gem cantik banget
Elgi Fahri,5,2025-10-05 08:18:40,seru,seru
Ahmad Saiban,5,2025-10-05 08:16:48,ok ini waktunya,ok ini waktunya
Elkis Genta amizi,1,2025-10-05 08:14:08,FF ga seru lagi karna Budi telah pensi sang panutan kami 😢,ff ga seru lagi karna budi telah pensi sang panutan kami 😢
86RL 86RL,5,2025-10-05 08:08:36,kerja bagus 😲👍👍🙈🙉🙊,kerja bagus 😲👍👍🙈🙉🙊
Robby Hermanus19,4,2025-10-05 08:05:53,bagus,bagus
Fajri Alida,5,2025-10-05 08:05:15,seru,seru
Dimas Dimash,5,2025-10-05 08:05:13,bagus dan unik,bagus dan unik
Zahwa Khairani,5,2025-10-05 07:56:21,enkk,enkk
Firman,5,2025-10-05 07:54:45,Ff sangat bgus ini gem kesukaan saya waktu pertama kali main tu bgus banget rasa nya,ff sangat bgus ini gem kesukaan saya waktu pertama kali main tu bgus banget rasa nya
SARLAN BUSE,2,2025-10-05 07:49:28,"jonanya udah ngga ngotak anjir lagi asik""nya war TPI jonanya blum kecil bangat TPI udah sakit mohon kerja samanya Garena jonanya di kurangin dikit sakitnya","jonanya udah ngga ngotak anjir lagi asik""nya war tpi jonanya blum kecil bangat tpi udah sakit mohon kerja samanya garena jonanya di kurangin dikit sakitnya"
Misbah Embuy,1,2025-10-05 07:45:33,Bagus game nya tapi jaringan suka ngeleg padahal WiFi nya gak ngeleg,bagus game nya tapi jaringan suka ngeleg padahal wifi nya gak ngeleg
Ema Lahirna,5,2025-10-05 07:39:52,"tolong Garena,aku minta SG traubelmaker 😁","tolong garena,aku minta sg traubelmaker 😁"
Gacor Selalu,5,2025-10-05 07:37:16,👍,👍
M.fauzan.R,5,2025-10-05 07:37:07,keren banget,keren banget
FF. KAsIiHツ,5,2025-10-05 07:32:30,free fire sekarang makin hd🤗,free fire sekarang makin hd🤗
BOCIL PUGB,1,2025-10-05 07:31:27,udah berapa lama main game ini makin lama makin burik dan akun saya hilang tidak pakai chit tiba tiba hilang game ini terlalu busuk,udah berapa lama main game ini makin lama makin burik dan akun saya hilang tidak pakai chit tiba tiba hilang game ini terlalu busuk
Lu an,5,2025-10-05 07:29:52,bagus banget,bagus banget
Kahpi,1,2025-10-05 07:29:50,kurang terimakasih,kurang terimakasih
Saepul Patia,5,2025-10-05 07:15:43,bagus,bagus
AIRLANGGA RISKI RAMADHAN,5,2025-10-05 07:07:52,anj kau Garena aku udah tembak musuh tapi darah musuh ngurang nya dikit banget anj kalo bikin Evo demeg nya jangan tinggi tholol😠😠😠,anj kau garena aku udah tembak musuh tapi darah musuh ngurang nya dikit banget anj kalo bikin evo demeg nya jangan tinggi tholol😠😠😠
Rahmat Hidayatulloh,5,2025-10-05 07:07:14,bagus dan HD,bagus dan hd
