id,content,sentiment
1,saya dulu main dari sampai dan ternyata free fire tidak seseru yang dulu tapi gk papa,netral
2,aku suka banget main nya seru kalo aku gabut aku suka main ff,positif
3,minta ff beta,netral
4,sangat seru,positif
5,semakin kesini semakin pelit hoki dia ini,negatif
6,gem gak guna,negatif
7,sangat bagus,positif
8,ff ku black screen,negatif
9,gamenya dah bagus tapi kenapa kenapa gw tiap main cs dikasih tim drak sistem udah hedsot bukannya dibantuin malah pada kemana aku sudah muak garena tiap main tambah bintang satu lalu turun kali padahal baru pangkat diamon garena padahal saat master gak kayak gitu paling turun atau kalo engak itu naik nya bisa sampai kali jadi jika kesabaran kalian setipis tisu jangan coba game ini aku dah muak,negatif
10,bang garena bikin free fire yang kaya dulu lagi aku kangen bgt,netral
11,bagus sekali terimakasih free fire atas dukungan muuaku suka bermain free fireoh iya sekalikali kek aku di kasih hoki kalo sepin,positif
12,keren,positif
13,ff mqntul,positif
14,sangat keren,positif
15,gamenya bagus kita bisa mabar cari pacar dan baiwan bareng temen gamenya keren abis deh,positif
16,karna ff game favorit minta dm garena,netral
17,keren mimin garena jago buat boleh kah kasih aku diamond,positif
18,sangat menarik,positif
19,game bagong game anying lamun nyaho di peak bar bara tong nyugugken senjata jarak jauh lah goblog sistem nyeleneh,negatif
20,perlu diperbaiki di bagian machnnya yang lama,netral
21,min kalok cs ranked tolongberi kami tim yang sepadan dengan tim musuhtolong banget min,netral
22,ff biasa akun ku dh bagus cara pindahin ya dimana y,netral
23,keren dan sangat bagus,positif
24,sangat keren,positif
25,game bagus ini,positif
26,gak bagus jelek berat lagi pokok nya gak rekomen,negatif
27,ff bagus banget bisaa dapet hewan bagus,positif
28,garena baperan,netral
29,ke blacklist mulu perasaan akun gua padahal murni gk pake apa apa,negatif
30,bagussss bangettt,positif
31,jaya,positif
32,membosankan,negatif
33,g bgs sm sklitp bgs jga sii,netral
34,bagus banget ff,positif
35,seru banget,positif
36,spin jarang hoki,netral
37,seru banget game ini,positif
38,main dari bug damage makin parah,negatif
39,sangat menarik untuk bermain game online nya,positif
40,saya suka game nya,positif
41,bagusmbatu,positif
42,sangat sangat bagus,positif
43,baguss bangett,positif
44,terimah kasih ff telah membuat kami bahagia,positif
45,game burik salah pencet pas mau top up tidak bisa lagi top up,negatif
46,epep ini seru dan bikin seneng atau sedih itu tergantung menang kalah nya,positif
47,gem nya sangat bagus,positif
48,sangat bagus,positif
49,hapus sekil laba laba raiden,netral
50,game ini bagus banget tapi udah dah,positif
51,burik,negatif
52,sangt seruuu,positif
53,lama amat downlod di play store,netral
54,gem nya seru,positif
55,makasih ya garena udah mengembalikan glider lagi,netral
56,bagus,positif
57,gem yang sangat keren ada banyak gem ada banyak skin dan ada banyak senjata yang sangat bagus dan keren aku mendapatkan pengalaman yang sangat keren aku bisa main berjam jam ini pastikan kalian donloat ya,positif
58,game ya sagat bagus biar orang bilang gak ada pintu yang penting nomor satu semangat yang main semogah ff makin keren salam boya,positif
59,game jelek,negatif
60,bagus bgt,positif
61,kenapa ya pdahal udah hbis dwolaad pas mau main ulang kok disruh dwolaad lgii,netral
62,saya sangat suka game ini game ini cocok di mainkan dari umur sampai umur dan game ini banyak map seru di craftland karna game ini seru dan banyak map seru jadi saya kasih bintang,positif
63,game ini seru,positif
64,ff bagus,positif
65,mending epep biasa epep max lagparah jirrrr,negatif
66,dikasih temen drak sistem musuh es satu esdua la gua bocil bocil,netral
67,game yang menyenangkan tidak boring,positif
68,you garena tolonglah perbaiki ffini masalahnya bug analok jalan sendiri padahal tidak yentuh apa apa,negatif
69,pengen skali kembaki ke masa masa kerena ff swru skali di masa itu kalau bisa saya ingin kembali ke masa itu kerena masa itu swru banget,netral
70,game burik banyak bugtadi wifi baik aja tiba tiba disuruh keluar ff game dongo,negatif
71,game nya bagus tapi sayangnya game ini suka nyindir orng jomblo,positif
72,bagus bngt,positif
73,bagus bngtt,positif
74,apakah pake data atau tidak yah kalau pake data aku kecewa,netral
75,banyak bug nya tpi mki kasi bintang,negatif
76,gemini sangat bagus,positif
77,kasih offline biar enak,netral
78,sudah ku update loh masih disuruh update lagi,netral
79,baguss pengen memiliki,positif
80,akun saya sering hilang mohon berikan saya akun,netral
81,bagus,positif
82,kurang hade,negatif
83,woi garena kalo gk niat jangan bikin game masa aku pas masuk di keluarin dasar terus gk aman banyak yang ngecheat,negatif
84,game nya bagus enak gitu aja kok,positif
85,tenen satu tim agak beban,netral
86,sangat seru,positif
87,sangat baguss tapi on mic nya tolong jangan di stopp yaa kalo keluar dari gamee,positif
88,burik kali bg ff sekarangkalok ada musuh langsung ngelekff bit,negatif
89,game burik kasih musuh curang dan main kalah terus,negatif
90,seru,positif
91,bagus,positif
92,tolong kembalikan peak yang dulu dan juga kembalikan gerafik ff yang dulu,netral
93,game buruk gaya yini,negatif
94,game burik setiap login ff gak bisa masuk,negatif
95,game nya sangat keren sekali,positif
96,asikk,positif
97,free fire itu seru banget,positif
98,game ini sangat seru di mainkankarena aku s uka game tembak sekian assalamualaikum warahmatullahi wabarakatuh,positif
99,seruuuu woyyy,positif
100,ff sangat bagus terima kasih banyak untuk hiburan nya,positif
101,the game is beautiful,positif
102,event na barurikkkjelekkga kaya dulu,negatif
103,kalok buat game jangan di seting masa dah di luck aturan dapet jadi gk kan gk masuk logika ff,negatif
104,bagus tpi tolong geme nya banyak orang ngtroll alis otak nya dongkol tolong develover nya buat geme ini lebih bagus dan jangan ada cheter lagi yang kaya babi,netral
105,game jelek masa grafik aku turun dari ultra sampe ke smooth,negatif
106,ff sangat bagus,positif
107,game ini cocok untuk game yang ada di roblox misal nya curi labubu satu lagi curi anomali,netral
108,free fire ayo collab boboiboy min plisss collab sama boboiboy,netral
109,gamenya banyak bug kalo aku main musuh pro temen bot trus pas aku mau naik pangkat malah season,negatif
110,kangen ff yang dulu tambahin player baru lagi dong yang murcet,netral
111,aku suka sekali,positif
112,terima kasih garena telah mengembalikan glider di ff saya akan comeback,netral
113,game nya seru pokoknya seru deh aku kasih bintang buat garena,positif
114,hilangkan bug terutama bug damage,negatif
115,garena ngebak mulu dan makin jelek pbalap bacot halo bot,negatif
116,keren bgt apalagi jaringan nya tambah ngeleg wow bgtsampe ngasih bintang satu aja gak ikhlas,negatif
117,seru,positif
118,gem jelek sya tidak bisa main cs ranked,negatif
119,game puki ceuk si kijat mending ngusep,negatif
120,login ae susah bet najis game burik,negatif
121,game nya baguss tapi aku kecanduan top jirr,positif
122,ff semakin kesini semakin jlek dan leg leg gak jlas,negatif
123,garena kacau hp gw kaga bisa download,negatif
124,bagus,positif
125,game burik bit gak guna pula,negatif
126,gemburik,negatif
127,kenapa pas mau login ngestuck di loadinh screen mulu ya padahal wifi lancar tapi kok ngga bisa login,negatif
128,game nya seru bgt tapi bagi dm lah,positif
129,jelek bikin sakit mata,negatif
130,geme burik bit bikin sakit mata,negatif
131,karna ff sangat bagus,positif
132,gem nya pata pata,negatif
133,ayo ramaikan ff bentar lagi puasa gw juga baru comback,netral
134,game sangat buruk skils carakter anehbanyak cheater gldan grafik game yang bikij sakit mata,negatif
135,game rusak gak bisa main,negatif
136,tidak ada ulasan,netral
137,grafiknya aduh,negatif
138,mantap ff,positif
139,sinyalnya tolong diperbaiki dan bug mic nya juga kesel juga lama,negatif
140,game banyak cheater nya,negatif
141,ko gabisa buat login platform mulu padahal udh lama ga main tolong di benerin ya min,negatif
142,game tai,negatif
143,seruu,positif
144,game gak ngotak musuh bot damagenya gak logis game rusak dari dulu main gak kyk gini,negatif
145,game burik,negatif
146,game sejuta umat dgn peminat terbanyak,netral
147,ooi bagi lah kami bundle gratis,netral
148,ff Hama banyak citer ga di ban tolol,negatif
149,grafik game burik,negatif
150,tidak ada ulasan,netral
151,seruuu,positif
152,grafik nya agak jelek,negatif
153,main ff seru macam main tempat perperangan yang nyata,positif
154,abis update mkin jlek,negatif
155,love youu epep,positif
156,game sampah,negatif
157,gimana ini game eror terus ga bisa nyambung ke serper gw kasih bintang biar di liat sama yang punya game,negatif
158,Kenapa gem ini setiap ingin login eror terus padahal jaringgannya bagus,negatif
159,singkat padatburik,negatif
160,game burik isinya bocahbocah tolol yang suka nyenggol sanasini udah kayak gamenya sempurna aja,negatif
161,game di dunia,netral
162,banyak orang yang main,netral
163,lumayan tapi jaringanya mulu,netral
164,login ae susah bet najis game burik,negatif
165,wow glinder akhirnya kembali lagi tapi era nya gabisa dikembaliin lagi,netral
166,seru banget kalau bisa lawannya bot ya,positif
167,gem jelek sya tidak bisa main cs ranked,negatif
168,tidak ada ulasan,netral
169,game nya bagus banget,positif
170,burik bit gaada pintu gk berkembang,negatif
171,grafik game burik,negatif
172,jagotoo,netral
173,miskin jaringan lag gjls padahal masih di lobby emng game miskin,negatif
174,ff selalu di hati wkkw,netral
175,tolong lah bug data di perbarui aku udah x data ilangsendiri,negatif
176,maksih garena,netral
177,gamenya sangat bagus,positif
178,kecewa berat aku sama free fire mengapa kecewa karna di setiap permainan tidak adil jadi gini masa yang make cheat di biarin yang murni selalu di bl entah kenapa aku ga tau selalu ke bl terus lagi mengapa pas saya login membaca info game mulu ini hal di ff yang aku tidak suka aslinya saya senang bermain free fire namun ada saja hal yang mengecewakan nah itu jadi tolong di perbaiki,negatif
179,p info mabar,netral
180,pliss garena kalo lagi spin di kasih hoki ngapa,netral
181,makin update makin susah makin jelek padahal udh bagus tapi malah update nya bikin jelek,negatif
182,sangat seru,positif
183,ayal sisen sangat bagus,positif
184,ff anj ngak dapet apap game menghabiskan uang game burik game nya agak laen masa glowal nya sudah ketaro tapi tetep mati ga jelas mohon jangan download,negatif
185,mantap,positif
186,memang ini rame tapi aku mau di kasih diamon,netral
187,wowwwwwwwww,positif
188,tetap aja jelek,negatif
189,pasang akun susah burik amt geme ini akun ku hilang top up udah banyak pake tabungan jangan di donglot akun bisa hilang,negatif
190,kebanyakan di update jdi ga enak game play nya,negatif
191,mau kenak berek akun sultan,netral
192,kerjaan staf garena ngapain aja sih cheater ribuan pengguna bahkan mereka make akun utama seyakin itu mereka kalau pendeteksi pergerakan abnormal di freefire tuh gak berfungsi lagi jaringan dari dulu sampai sekarang gak pernah di benahi terutama lagi player yang maksa grafis kanan hadehh grafis rendah semua efeck hilang grafis tinggi lag crash diem aja gitu para staf garena gak berani bertindak,negatif
193,scroll tiktok lancar nonton youtube lancar buat login epep sinyalnya lo gajelas semkin lama epep hanya mentingin cuan doang gak mentingin playernya yang main cheat di game di biarin sedangkan afk honor scor di turunin yang ngechet di biarin game aneh gjlas,negatif
194,ini game seru sekali,positif
195,ok,positif
196,game tolol jelas jelas udah download data pas login ulang semua nya ilang tolol merugikan banget jadi game,negatif
197,game yang asik seru dan bisa dapat banyak teman,positif
198,Gem ga jelas gua maen lama kir juga tapi tetep mines rengked tolong benr rin ini gimana udah 2 kali saya gini main lama juga sama kin tapi tetep mines hadeh,negatif
199,seru,positif
200,tidak ada ulasan,netral
201,ff hama banyak citer ga di ban tolol,negatif
202,kirim aku sg evo garena,netral
203,bagus mintapi tolong adakan lagi fitur lepas petnya terimakasih,positif
