data,sentiment,sentiment_self_training
saya dulu main dari sampai dan ternyata free fire tidak seseru yang dulu tapi gk papa,netral,netral
aku suka banget main nya seru kalo aku gabut aku suka main ff,positif,positif
minta ff beta,netral,netral
sangat seru,positif,positif
semakin kesini semakin pelit hoki dia ini,negatif,negatif
gem gak guna,negatif,negatif
sangat bagus,positif,positif
ff ku black screen,negatif,negatif
gamenya dah bagus tapi kenapa kenapa gw tiap main cs dikasih tim drak sistem udah hedsot bukannya dibantuin malah pada kemana aku sudah muak garena tiap main tambah bintang satu lalu turun kali padahal baru pangkat diamon garena padahal saat master gak kayak gitu paling turun atau kalo engak itu naik nya bisa sampai kali jadi jika kesabaran kalian setipis tisu jangan coba game ini aku dah muak,negatif,negatif
bang garena bikin free fire yang kaya dulu lagi aku kangen bgt,netral,netral
bagus sekali terimakasih free fire atas dukungan muuaku suka bermain free fireoh iya sekalikali kek aku di kasih hoki kalo sepin,positif,positif
keren,positif,positif
ff mqntul,positif,positif
sangat keren,positif,positif
gamenya bagus kita bisa mabar cari pacar dan baiwan bareng temen gamenya keren abis deh,positif,positif
karna ff game favorit minta dm garena,netral,netral
keren mimin garena jago buat boleh kah kasih aku diamond,positif,positif
sangat menarik,positif,positif
game bagong game anying lamun nyaho di peak bar bara tong nyugugken senjata jarak jauh lah goblog sistem nyeleneh,negatif,negatif
perlu diperbaiki di bagian machnnya yang lama,netral,netral
min kalok cs ranked tolongberi kami tim yang sepadan dengan tim musuhtolong banget min,netral,netral
ff biasa akun ku dh bagus cara pindahin ya dimana y,netral,positif
keren dan sangat bagus,positif,positif
sangat keren,positif,positif
game bagus ini,positif,positif
gak bagus jelek berat lagi pokok nya gak rekomen,negatif,negatif
ff bagus banget bisaa dapet hewan bagus,positif,positif
garena baperan,netral,netral
ke blacklist mulu perasaan akun gua padahal murni gk pake apa apa,negatif,negatif
bagussss bangettt,positif,positif
jaya,positif,positif
membosankan,negatif,negatif
g bgs sm sklitp bgs jga sii,netral,netral
bagus banget ff,positif,positif
seru banget,positif,positif
spin jarang hoki,netral,netral
seru banget game ini,positif,positif
main dari bug damage makin parah,negatif,negatif
sangat menarik untuk bermain game online nya,positif,positif
saya suka game nya,positif,positif
bagusmbatu,positif,positif
sangat sangat bagus,positif,positif
baguss bangett,positif,positif
terimah kasih ff telah membuat kami bahagia,positif,positif
game burik salah pencet pas mau top up tidak bisa lagi top up,negatif,negatif
epep ini seru dan bikin seneng atau sedih itu tergantung menang kalah nya,positif,positif
gem nya sangat bagus,positif,positif
sangat bagus,positif,positif
hapus sekil laba laba raiden,netral,netral
game ini bagus banget tapi udah dah,positif,positif
burik,negatif,negatif
sangt seruuu,positif,positif
lama amat downlod di play store,netral,netral
gem nya seru,positif,positif
makasih ya garena udah mengembalikan glider lagi,netral,netral
bagus,positif,positif
gem yang sangat keren ada banyak gem ada banyak skin dan ada banyak senjata yang sangat bagus dan keren aku mendapatkan pengalaman yang sangat keren aku bisa main berjam jam ini pastikan kalian donloat ya,positif,positif
game ya sagat bagus biar orang bilang gak ada pintu yang penting nomor satu semangat yang main semogah ff makin keren salam boya,positif,positif
game jelek,negatif,negatif
bagus bgt,positif,positif
kenapa ya pdahal udah hbis dwolaad pas mau main ulang kok disruh dwolaad lgii,netral,netral
saya sangat suka game ini game ini cocok di mainkan dari umur sampai umur dan game ini banyak map seru di craftland karna game ini seru dan banyak map seru jadi saya kasih bintang,positif,positif
game ini seru,positif,positif
ff bagus,positif,positif
mending epep biasa epep max lagparah jirrrr,negatif,negatif
dikasih temen drak sistem musuh es satu esdua la gua bocil bocil,netral,netral
game yang menyenangkan tidak boring,positif,positif
you garena tolonglah perbaiki ffini masalahnya bug analok jalan sendiri padahal tidak yentuh apa apa,negatif,negatif
pengen skali kembaki ke masa masa kerena ff swru skali di masa itu kalau bisa saya ingin kembali ke masa itu kerena masa itu swru banget,netral,netral
game burik banyak bugtadi wifi baik aja tiba tiba disuruh keluar ff game dongo,negatif,negatif
game nya bagus tapi sayangnya game ini suka nyindir orng jomblo,positif,positif
bagus bngt,positif,positif
bagus bngtt,positif,positif
apakah pake data atau tidak yah kalau pake data aku kecewa,netral,negatif
banyak bug nya tpi mki kasi bintang,negatif,negatif
gemini sangat bagus,positif,positif
kasih offline biar enak,netral,netral
sudah ku update loh masih disuruh update lagi,netral,negatif
baguss pengen memiliki,positif,positif
akun saya sering hilang mohon berikan saya akun,netral,netral
bagus,positif,positif
kurang hade,negatif,negatif
woi garena kalo gk niat jangan bikin game masa aku pas masuk di keluarin dasar terus gk aman banyak yang ngecheat,negatif,negatif
game nya bagus enak gitu aja kok,positif,positif
tenen satu tim agak beban,netral,netral
sangat seru,positif,positif
sangat baguss tapi on mic nya tolong jangan di stopp yaa kalo keluar dari gamee,positif,positif
burik kali bg ff sekarangkalok ada musuh langsung ngelekff bit,negatif,negatif
game burik kasih musuh curang dan main kalah terus,negatif,negatif
seru,positif,positif
bagus,positif,positif
tolong kembalikan peak yang dulu dan juga kembalikan gerafik ff yang dulu,netral,netral
game buruk gaya yini,negatif,negatif
game burik setiap login ff gak bisa masuk,negatif,negatif
game nya sangat keren sekali,positif,positif
asikk,positif,positif
free fire itu seru banget,positif,positif
game ini sangat seru di mainkankarena aku s uka game tembak sekian assalamualaikum warahmatullahi wabarakatuh,positif,positif
seruuuu woyyy,positif,positif
ff sangat bagus terima kasih banyak untuk hiburan nya,positif,positif
the game is beautiful,positif,positif
event na barurikkkjelekkga kaya dulu,negatif,negatif
kalok buat game jangan di seting masa dah di luck aturan dapet jadi gk kan gk masuk logika ff,negatif,negatif
bagus tpi tolong geme nya banyak orang ngtroll alis otak nya dongkol tolong develover nya buat geme ini lebih bagus dan jangan ada cheter lagi yang kaya babi,netral,positif
game jelek masa grafik aku turun dari ultra sampe ke smooth,negatif,negatif
ff sangat bagus,positif,positif
game ini cocok untuk game yang ada di roblox misal nya curi labubu satu lagi curi anomali,netral,netral
