userName,score,at,content
Luluk Muawanah,5,2025-10-03 16:14:19,oktober -o nya apa ooo ini udh pindah di blood strike awok awok awok
Kembar Kembar,1,2025-10-03 16:13:15,game burik
Muhammad Luthfi,4,2025-10-03 16:13:10,seru banget cok bagi SG 2 geratis ge mimin
Agas Hawu,5,2025-10-03 16:08:46,sangat bagus
vintxyy Skarall,1,2025-10-03 16:02:34,game burik banyak bug nya hadeh..
Baim Putra,5,2025-10-03 15:47:42,minta daimon
Ahmad Juma,5,2025-10-03 15:35:16,hammas
Kang Cabul,5,2025-10-03 15:31:02,tolong kondisikan bnyk yg teleport
Kiki Kiki,5,2025-10-03 15:30:04,sangat mantap. tapi kalo bisa balikin yg bisa dapat DM yg dlu itu
Hamzah Gg,1,2025-10-03 15:27:10,umk
Danil Akbar96,1,2025-10-03 15:23:07,gak sesuai seperti kontrol penuhpedahal nggak kontrol penuh aim nggak nempel nembak nggak enak ff 8bin gini lah nggak enak banget saya kira saya aja yang mengalami gangguan sinyal sering patah maen nya gak tau nya yang lain juga sering ngebak juga nembak sering nggak kena pedahal depan mata musuh
fajar istriyatna,1,2025-10-03 15:22:32,ngelaxs .... kenapa nih min
Lina Waruwu,1,2025-10-03 15:21:33,makin lama free fire ini makin susah jaringa tolong lah garena diperbaiki
Rizal Muke,1,2025-10-03 15:15:54,panutan ku gak bisa main ff lagi
Shuraa21,5,2025-10-03 15:14:21,burik
akun Ml,5,2025-10-03 15:03:41,sudah makin berkembang
Arya Sakti,5,2025-10-03 15:03:19,gak ada ulasan
Abib Biba,1,2025-10-03 15:00:49,gem ini udah rusak banget . ak main siyal 50 luting aja susah gem burik rusak
e,2,2025-10-03 14:59:45,"min ini ko gabisa masuk gamenya si, gatel ini tangan pen maen"
Reza Reza aditiya,4,2025-10-03 14:59:37,geme seru
akuniqbal 1818_,3,2025-10-03 14:58:07,Ga bisa di download
Persinas Asad,5,2025-10-03 14:49:42,keren
Calief Azka,5,2025-10-03 14:47:48,geme nya bagus bgt seru untuk dibuat main bareng meskipun agak nge leg sedikit tapi tetap bagus gravitasi nya semoga geme ini kedepan nya semakin bagus lagi🙏
Berto Kadepa,5,2025-10-03 14:44:12,PANIAI BOSY
Iyainmas Iyainmas,5,2025-10-03 14:40:01,halo Garena kok skin senjata ku kok hilang semua padahal saya gak pakai cheat atau rege dan baju celana semua ilang dan dan SG trompet susah susah dapetin kok juga ilang
FAJRI AJII2005,4,2025-10-03 14:36:17,lumayan saya suka
aical fros gaming,1,2025-10-03 14:31:45,"game ga layak main kaya t41 game nya bs bs nya org nembak dlu baru gerak, bug nya kaya orang gila benerin lagi game lu garena miskin, bug masih banyak di benerin dlu miskin"
Has Yir,5,2025-10-03 14:29:38,main ya sangat enak debas sekali
afifah hanum,5,2025-10-03 14:29:20,Bagus
nazril pulungan,5,2025-10-03 14:28:49,seru banget dah ni game
Komik Pik,4,2025-10-03 14:25:03,aku rasa ini game free fire bagus banget tapi masalahnya itu bandel bandel lamanya dikembalikan lagi itulah membuatkan rating 4 bintang saja Aku harap Garena boleh Jangan membuat bandel bandel yang yang lama jangan dikembalikan itulah masalahnya membuatkan free fire dibenci dan tidak mau didownload kuharap Garena bisa mengerti ya
Ziefara Hansha hafizhah,1,2025-10-03 14:23:20,game burik njs. #epepburik #gamekikir
Redmi Tapin,5,2025-10-03 14:20:36,hahahaha......maaf
Okllay Fauzi,1,2025-10-03 14:20:26,"ping di dalam game jelek/tinggi,mengakibatkan delay,apalagi kalo main rank,makin buruk ping gamenya,padahal buat YouTube,download,main game lain aman saja,saat main game freefire pasti terkendala jaringan internet tidak bagus,itu dari dulu internet di dalam game freefire selalu buruk/jelek,isinya dari dulu penjualan terus yang di utamakan,bukannya memperbaiki masalah di dalam game,ini malah menjual terus menerus.(tidak paham lagi sama game freefire),banyak akun yang di jual dan pensi,karna buruk"
Dewi Permatasari Dewi,5,2025-10-03 14:17:25,sangatt woww pokoknyaa gayss cumaa gituuu ngelegg nya mintaa ampun nih hidup burik💕
Juanda Saputra,2,2025-10-03 14:11:19,tolong game nya di buat supaya gak kaku dan koneksi nya tolong jangan di buat buat
Kylefingers,5,2025-10-03 14:10:54,gw dulu suka suka tapi lama lama hp juge jadi korban🗿gigit gigit gigit lagi pecah🗿tapi bgus ff adalah hati yg suka menyinari hidup ku
Muhammad Rafi,5,2025-10-03 14:02:04,seru
Rany Safitry,3,2025-10-03 14:00:18,masalah jaringan tolong di fix ya
Sanuya Ini akun ep ep,5,2025-10-03 13:57:34,bagus banget game epep ini
Jowandosky Manalu,5,2025-10-03 13:55:08,bagus sih tapi englag tolong diperbaiki ya min gara gara itu aku jadi makin malas main ff sekali lagi tolong diperbaiki ya min. jadi lebih sering main ROBLOX deh min . TERIMA KASIH 😘😘😘
ASA HANET,5,2025-10-03 13:52:27,wekk
Ahmad Hadi,5,2025-10-03 13:51:14,min kembalikan g Budi 01 gaming cuman perkara main blok strik Ampe v bet bg Budi di ilangin kembalikan bg Budi dia main bloks straik buat nyari napkah kan banyak game mah Ampe gaboleh
Jesy Jesyka,5,2025-10-03 13:46:26,mksh bnyak sy sdh mendapatkan 5bintang
Asep Zohan,2,2025-10-03 13:46:08,kebanyakan bug
444 gzz,1,2025-10-03 13:43:01,ini knp garena? aku login jaringan lancar tpi kaga bisa masuk ajg
Muhammad Akmal,5,2025-10-03 13:42:27,game ini sangat seru sekali tapi mohon Garena kembalikan emote push up dah peak old dan untuk update juga lumayan tapi kurang nya dari free fire banyak sekali orang yang menggunakan cheat atau panel saat saya bermain cs rangked atau br rangked menggapa yang pake cheat/panel tidak di ban asal kan kita kalau iam nya nempel ke kepala langsung di reapot atau ban mohon lah Garena
dika triyadi,1,2025-10-03 13:42:21,Bu
Gilang Arfandi,1,2025-10-03 13:37:49,tolong lah bug damage yh dinperhatiakan terus knp selalu dapat tim yg ngk bisa main kalah terus capek
Sifa Sifa,5,2025-10-03 13:27:26,game ini sangat seruu
Muh nouf Al mahdi,5,2025-10-03 13:26:31,suka suka aja seru
Aqila Tama,5,2025-10-03 13:23:51,Saya berterima kasih kepada Garena karena game free fire ini bagus bisa ngereng sampai green master aku sekarang Rengnya green master 5kali Dan heroik 26kali seru banget Yo Garena kolep dengan hantu hantu
Tarwiyah TARLIM,1,2025-10-03 13:20:36,game rusak
Aldo Aldo,5,2025-10-03 13:20:12,aku ketagihan
Eza Pratama,2,2025-10-03 13:18:41,game ini sangat jelek gua kalah mulu memang GARENA anj
Rapka Suryandi,3,2025-10-03 13:18:21,game ini enakan cuma sinyal nya aja yg kurang bagus padahal sinyal gua udah bgs tapi kok ngelag gua kah bintang 🌟🌟🌟 3 aja grafik sinyalnya benerin aja gua kasih bintang lima
Dede Xyyz,5,2025-10-03 13:18:16,sangat bagus sekali
Leny Manies,5,2025-10-03 13:16:45,seru dan menyenangkan tapi mau evo shotgun😕
ari pua,5,2025-10-03 13:14:17,game yng sangat kerennn!!!
Nurul Huda,5,2025-10-03 13:13:01,FreeFiremAXxN
Jonathan Tandilangi,1,2025-10-03 13:10:13,gamenya banyak bug
Nur Calia354,3,2025-10-03 13:07:24,Hay kerator kalau bisa tingkatkan jaringannya biar dapat kil terus
Farel_bungas,1,2025-10-03 13:07:14,"apasih epep kek kntl skrg, gbisa login padahal sinyal bagus bego"
Syawal,5,2025-10-03 13:03:16,permainan yang seru tanpa batas aku memberi game berikut 5 bintang!!!!
Ervin,5,2025-10-03 12:59:51,yulik
Satria Agus,5,2025-10-03 12:54:52,ngelak dan patah patah coek
Nizam Tayo,5,2025-10-03 12:52:16,game nya enak banget seruuuu
Cahya Cahya,1,2025-10-03 12:52:09,saya kasih ratting bintang satu karna garena nge bl akun bg budi 01 gaming
Fadil ENdro,5,2025-10-03 12:49:52,game nya bikin ketagihan kalo pake ap king
Bara Bere,5,2025-10-03 12:43:43,ff di hati🥰
Jano Jano babi,1,2025-10-03 12:43:27,Game busuk
Mur Niah,4,2025-10-03 12:41:59,sangat enak di mainin
Alpa Alpa,5,2025-10-03 12:39:29,"developer tolong benerin bug damage, meresahkan padahal 1 vs 1 tapi malah bug damage kayak udah kena headshot tapi hp nya masih banyak tolong benerin dong"
Dedew,2,2025-10-03 12:39:25,tolong dong jangan cuma mikirin keuntungan saja. pikirin juga kenyamanan para pemain bug sinyal bug demig benar-benar bikin mood anjlok. jadinya malas buat main ni games
Aulia Saputra,5,2025-10-03 12:37:02,gem yang saya suka
